UBUNTU AWS
INST,ITER MEAN,SOLVER TIME MEAN (s),SOLVER TIME STD,TOTAL TIME MEAN (s),TOTAL TIME STD,REP,PASS,FAIL
scp41,18,2.3532306154,0.008170475050266171,2.456045947,0.0080813331039623,5,5,0
scp42,18,2.3743097654,0.01687372241159153,2.4778803712,0.016874759683947527,5,5,0
scp43,17,2.2277435548,0.006205770475601091,2.3303601073999998,0.005806600195448685,5,5,0
scp44,17,2.2284295896,0.011681290133393961,2.3316293944,0.01123525984236398,5,5,0
scp45,17,2.2219174316,0.012953840976534372,2.3252411622,0.012521319463076379,5,5,0
scp46,18,2.3605715334,0.014519774325698979,2.4639085940000003,0.014441976042887921,5,5,0
scp47,17,2.2296307128,0.012234260117691312,2.3328287598,0.012762296834885747,5,5,0
scp48,19,2.4929686526,0.008529365052239243,2.595908252,0.008059542713533284,5,5,0
scp49,17,2.230589209,0.011929896718891067,2.3338062498000003,0.012442124653036787,5,5,0
scp410,17,2.233284717,0.013554909873211146,2.3361374512,0.013838826098007944,5,5,0
