INST,ITER MEAN,SOLVER TIME MEAN (s),SOLVER TIME STD,TOTAL TIME MEAN (s),TOTAL TIME STD,REP,PASS,FAIL
scp51,22,4.8317922364,0.033556388866311786,5.0135528808,0.03401063277561824,5,5,0
scp52,22,4.8235936524000005,0.04999722396382187,5.0064691894,0.05056000648338126,5,5,0
scp53,20,4.3884565428,0.014640029824903563,4.5697563478,0.015234576989635925,5,5,0
scp54,20,4.386394336,0.031317054379937675,4.5677674316,0.032423918463903384,5,5,0
scp55,20,4.407156640599999,0.023579125485882365,4.5897436034,0.02341366215311373,5,5,0
scp56,20,4.3909463378,0.011224801563786736,4.5726452148,0.010217873202075898,5,5,0
scp57,21,4.6201769042,0.01629742527615569,4.802253418,0.016203944955362558,5,5,0
scp58,22,4.8482651856,0.028821243652428465,5.0296894042,0.029605917315021046,5,5,0
scp59,22,4.8857125488,0.07407052399547805,5.067869287400001,0.0756465768179657,5,5,0
scp510,20,4.3846271974,0.01521662497735616,4.5659543944,0.015452725897235762,5,5,0
