UBUNTU LOCAL - CHOL SOLVER
INST,ITER MEAN,SOLVER TIME MEAN (s),SOLVER TIME STD,TOTAL TIME MEAN (s),TOTAL TIME STD,REP,PASS,FAIL
scp41,18,1.5193397462,0.033786653755129535,1.6110198242,0.033761704380783075,5,5,0
scp42,18,1.5026720216,0.05829302912598463,1.596562549,0.059554514658698716,5,5,0
scp43,17,1.3642971682,0.024975328405554074,1.4497796388,0.024189121205259914,5,5,0
scp44,17,1.3303668456,0.016674605585060037,1.4156055664,0.016926053951346175,5,5,0
scp45,17,1.3999240233999999,0.034071902223264845,1.4883768555999999,0.03659180378516857,5,2,3
scp46,18,1.4892560058,0.011538827367540609,1.5801515626,0.01181103310479413,5,5,0
scp47,17,1.3711772462,0.036051420209308425,1.4598690432,0.03854869322860081,5,5,0
scp48,19,1.4987769532,0.01542705182057325,1.588876953,0.020603480930881907,5,5,0
scp49,17,1.3491267578,0.01427541770965252,1.4376084962,0.017057466473111137,5,5,0
scp410,17,1.3761586428,0.02604856316740119,1.465569629,0.025910927682030058,5,5,0
